Distance,Offset,Elevation
0.0,-0.0,1367.573
10.0,-0.78,1367.345
16.493,-2.15,1367.175
20.0,-3.2,1367.149
21.977,-3.0,1366.949
30.0,-8.35,1367.335
40.0,-11.05,1366.514
40.619,-11.11,1366.484
50.0,-11.03,1366.321
60.0,-8.37,1366.709
70.0,-7.6,1366.604
80.0,-6.37,1366.578
81.238,-6.27,1366.561
100.0,-7.41,1366.65
100.0,-7.0,1366.237
100.0,-6.2,1366.237
100.108,-3.0,1366.796
117.053,-0.0,1366.7
120.0,-0.0,1366.681
120.0,-0.0,1366.675
120.0,-0.0,1366.675
133.754,-0.0,1366.559
