chainage,0.0
0,1007.599
7.136,1007.384
13.981,1006.197
chainage,20.0
-1.41,1007.365
0,1007.357
2.288,1007.281
3.953,1007.262
7.324,1007.115
7.813,1007.067
10.161,1006.821
13.931,1006.1
17.95,1005.75
chainage,40.0
-1.149,1007.106
0,1007.076
4.0,1007.012
7.92,1006.9
8.124,1006.869
9.926,1006.728
15.254,1005.915
19.112,1005.759
chainage,60.0
-1.242,1006.779
0,1006.751
3.268,1006.703
8.0,1006.635
8.386,1006.579
9.844,1006.499
12.626,1005.895
15.629,1005.545
19.042,1005.414
chainage,80.0
-1.566,1006.553
0,1006.536
1.501,1006.489
4.695,1006.442
8.168,1006.327
8.313,1006.287
9.787,1006.199
12.353,1005.767
14.848,1005.347
18.146,1005.2
chainage,100.0
-2.286,1006.344
0,1006.332
4.617,1006.22
7.972,1006.08
8.23,1006.032
10.385,1005.894
12.988,1005.452
16.749,1005.253
19.818,1005.234
chainage,120.0
-2.066,1006.162
0,1006.097
2.679,1006.047
6.895,1005.971
7.088,1005.908
9.292,1005.833
13.469,1005.116
18.574,1004.865
chainage,140.0
-2.244,1005.988
0,1005.934
5.417,1005.863
5.6,1005.792
7.91,1005.697
11.059,1005.17
14.773,1004.857
18.216,1004.779
chainage,160.0
-5.309,1005.834
-2.666,1005.787
0,1005.74
3.313,1005.692
3.394,1005.627
4.781,1005.61
8.045,1005.092
10.709,1004.801
14.087,1004.625
18.729,1004.5
chainage,180.0
-5.658,1005.622
-2.279,1005.521
0,1005.462
0.336,1005.453
0.542,1005.374
2.427,1005.298
5.119,1004.778
6.634,1004.591
11.376,1004.342
13.887,1004.268
chainage,200.0
-10.267,1005.451
-9.246,1005.392
-7.721,1005.412
-4.726,1005.271
-1.889,1005.127
-1.793,1005.059
0,1004.932
1.788,1004.441
3.391,1004.25
6.432,1004.148
10.332,1004.04
15.586,1003.874
chainage,220.0
-11.147,1004.814
-9.082,1004.838
-7.858,1004.944
-7.182,1005.293
-6.528,1004.956
-3.897,1004.848
-0.681,1004.647
0,1004.516
1.07,1004.274
1.584,1003.992
6.446,1003.903
12.034,1003.886
14.811,1003.856
14.837,1003.862
chainage,240.0
-9.881,1003.835
-7.752,1003.788
-5.926,1005.102
-5.001,1004.687
-4.007,1004.659
-2.457,1004.595
0,1004.474
0.542,1004.444
0.711,1004.398
2.038,1004.164
2.753,1003.836
9.579,1003.93
13.714,1003.925
16.879,1003.822
chainage,260.0
-14.603,1003.526
-8.572,1003.678
-7.906,1003.734
-7.091,1004.055
-6.81,1003.952
-5.271,1004.823
-4.584,1004.49
-2.513,1004.51
0,1004.387
1.509,1004.34
1.53,1004.336
1.601,1004.301
2.65,1004.244
4.121,1003.967
8.026,1004.019
11.326,1003.976
14.253,1003.871
chainage,280.0
-9.719,1004.04
-6.434,1004.287
-3.863,1004.35
-3.691,1004.405
0,1004.214
2.355,1004.101
2.458,1004.074
4.745,1003.923
5.471,1003.732
8.449,1003.621
12.484,1003.495
chainage,300.0
-17.112,1003.373
-12.695,1003.46
-7.089,1003.515
-5.524,1003.548
-3.92,1004.059
-2.73,1004.146
0,1004.017
3.302,1003.862
3.436,1003.795
5.047,1003.675
5.357,1003.469
8.958,1003.352
11.441,1003.351
12.064,1003.547
chainage,320.0
-7.375,1003.232
-4.575,1003.296
-3.118,1003.765
-2.198,1003.865
-2.075,1003.894
0,1003.811
3.914,1003.672
4.041,1003.62
4.579,1003.606
5.242,1003.42
6.558,1003.396
9.848,1003.344
10.262,1003.346
10.594,1003.565
chainage,340.0
-8.04,1003.023
-7.208,1003.249
-3.845,1003.57
-3.249,1003.556
-2.121,1003.777
-1.242,1003.731
0,1003.64
4.095,1003.339
4.21,1003.297
8.234,1003.15
9.481,1003.193
10.048,1003.456
chainage,360.0
-7.988,1002.548
-4.778,1002.519
-3.645,1003.137
-2.097,1003.458
-1.944,1003.492
0,1003.395
4.023,1003.106
4.151,1003.057
5.139,1002.969
6.457,1002.497
9.061,1002.528
10.463,1002.487
12.085,1002.533
chainage,380.0
-9.65,1002.636
-4.938,1002.652
-4.134,1003.132
-2.352,1003.239
-2.222,1003.292
0,1003.192
3.665,1002.997
3.797,1002.926
8.13,1003.067
9.858,1003.068
10.884,1003.198
11.401,1003.085
chainage,400.0
-10.333,1002.905
-6.718,1002.861
-3.423,1002.914
-3.216,1002.977
0,1002.94
2.721,1002.85
2.953,1002.765
5.842,1002.973
6.291,1003.083
6.709,1003.052
6.955,1003.006
7.369,1003.209
7.863,1003.141
8.057,1003.138
8.391,1003.276
8.858,1003.274
9.565,1003.122
14.761,1003.167
chainage,420.0
-16.41,1002.661
-11.722,1002.808
-8.104,1002.949
-7.757,1002.967
-4.408,1002.954
0,1002.858
2.897,1002.716
3.106,1002.662
3.909,1002.692
7.277,1003.062
8.966,1002.89
10.486,1002.99
chainage,440.0
-10.315,1002.697
-8.242,1002.731
-5.237,1002.9
-4.572,1002.895
0,1002.86
4.268,1002.741
4.406,1002.701
5.775,1002.632
6.533,1002.759
7.693,1002.905
chainage,460.0
-9.682,1002.454
