,0
کارشناسی پیوسته_زیست فناوری_یزد_4031,4
کارشناسی ارشد ناپیوسته_حقوق  خصوصی_یزد_4031,4
کارشناسی پیوسته_مهندسی برق_یزد_3991,4
کاردانی پیوسته_حسابداری_یزد_4031,3
کارشناسی ارشد ناپیوسته_مالی - مهندسی مالی و مدیریت ریسک_یزد_4031,3
کاردانی پیوسته_امور اداری_یزد_4021,3
کارشناسی پیوسته_پرستاری_یزد_4011,3
دکتری تخصصی_حقوق  عمومی_یزد_4021,3
کارشناسی ناپیوسته_مهندسی حرفه ای مواد ریخته گری_یزد_4011,3
کارشناسی پیوسته_حقوق_یزد_3991,3
کارشناسی ارشد ناپیوسته_مشاوره - مشاوره توانبخشی_یزد_4031,3
کارشناسی پیوسته_علوم ورزشی_یزد_4011,3
کارشناسی ارشد ناپیوسته_تکنولوژی  آموزشی_یزد_4031,3
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4021,3
کارشناسی پیوسته_مهندسی برق_یزد_4031,2
دکتری عمومی_پزشکی_یزد_4011,2
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4031,2
کارشناسی پیوسته_مهندسی عمران_یزد_4011,2
کارشناسی ارشد ناپیوسته_طراحی  پارچه  و لباس_یزد_4021,2
کارشناسی پیوسته_مدیریت بازرگانی_یزد_4021,2
کارشناسی پیوسته_علوم ورزشی_یزد_4032,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_3981,2
کارشناسی ناپیوسته_مهندسی حرفه ای معماری_یزد_4032,2
کارشناسی پیوسته_حسابداری_یزد_4011,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4011,2
کارشناسی پیوسته_مهندسی عمران_یزد_4032,2
کارشناسی پیوسته_میکروبیولوژی_یزد_4021,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_3981,2
کارشناسی پیوسته_حقوق_یزد_4032,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_4032,2
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4032,2
کارشناسی پیوسته_مترجمی زبان انگلیسی_یزد_4031,2
کارشناسی ارشد ناپیوسته_مدیریت ورزشی _ مدیریت سازمان ها و باشگاه های ورزشی_یزد_4011,2
کارشناسی پیوسته_علوم ورزشی_یزد_3991,2
کارشناسی ارشد ناپیوسته_نقاشی_یزد_4032,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_4031,2
کاردانی ناپیوسته_هتلداری_یزد_4031,2
کارشناسی ناپیوسته_حسابداری_یزد_4011,2
کارشناسی ارشد ناپیوسته_مشاوره - مشاوره شغلی_یزد_4011,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4001,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4031,2
کاردانی پیوسته_مکانیک خودرو_یزد_4021,2
کارشناسی پیوسته_علوم ورزشی_یزد_4031,2
کارشناسی پیوسته_مهندسی معماری_یزد_4021,2
کارشناسی ارشد ناپیوسته_مدیریت بازرگانی- بازاریابی_یزد_4031,2
کارشناسی ارشد ناپیوسته_مدیریت مالی_یزد_4021,1
کارشناسی پیوسته_مهندسی برق_یزد_4011,1
دکتری تخصصی_مشاوره_یزد_3971,1
کارشناسی ارشد ناپیوسته_روان شناسی بالینی_یزد_4011,1
کارشناسی پیوسته_حسابداری_یزد_4001,1
