,0
دکتری عمومی_پزشکی_یزد_3991,8
دکتری عمومی_پزشکی_یزد_4031,8
کارشناسی پیوسته_میکروبیولوژی_یزد_4001,8
کارشناسی پیوسته_مهندسی پزشکی_یزد_4001,8
دکتری تخصصی_مشاوره_یزد_4021,8
کارشناسی ناپیوسته_حسابداری_یزد_4021,7
دکتری تخصصی_حقوق  عمومی_یزد_4021,7
کارشناسی پیوسته_مهندسی برق_یزد_4021,7
کاردانی پیوسته_نرم افزار کامپیوتر_یزد_4021,7
دکتری تخصصی_مدیریت دولتی - مدیریت منابع انسانی_یزد_4031,6
کاردانی پیوسته_نرم افزار کامپیوتر_یزد_4031,6
کاردانی ناپیوسته_کاردانی حرفه ای طلا و جواهر - ساخت زیورآلات با دست_یزد_4031,6
کارشناسی ارشد ناپیوسته_مترجمی زبان انگلیسی_یزد_4031,6
کارشناسی پیوسته_مهندسی مواد و متالورژی_یزد_4011,6
کارشناسی پیوسته_مدیریت مالی_یزد_4031,6
کاردانی ناپیوسته_کاردانی حرفه ای قنادی_یزد_4021,6
کارشناسی پیوسته_مدیریت مالی_یزد_4011,5
دکتری تخصصی_مشاوره_یزد_4001,5
کارشناسی پیوسته_حسابداری_یزد_4031,5
کارشناسی ارشد ناپیوسته_حقوق  خصوصی_یزد_4031,5
کاردانی پیوسته_حسابداری_یزد_4031,5
کارشناسی پیوسته_علوم  تربیتی_یزد_3991,5
کارشناسی پیوسته_علوم و مهندسی صنایع غذایی_یزد_4001,5
کارشناسی ارشد ناپیوسته_مهندسی پزشکی - بیومتریال_یزد_4021,4
کاردانی پیوسته_امور اداری_یزد_4021,4
کارشناسی پیوسته_مترجمی زبان انگلیسی_یزد_4011,4
کارشناسی ارشد ناپیوسته_حقوق کیفری و جرم شناسی_یزد_4031,4
کارشناسی پیوسته_زیست فناوری_یزد_4031,4
کارشناسی ارشد ناپیوسته_روان شناسی و آموزش کودکان استثنایی_یزد_4031,4
کارشناسی پیوسته_حقوق_یزد_3991,4
کارشناسی ارشد ناپیوسته_پرستاری داخلی - جراحی_یزد_4001,4
کارشناسی پیوسته_مهندسی عمران_یزد_4001,4
کارشناسی پیوسته_علوم  تربیتی_یزد_4031,4
کارشناسی پیوسته_حسابداری_یزد_4032,4
کارشناسی پیوسته_مدیریت بازرگانی_یزد_4032,4
کارشناسی پیوسته_مهندسی برق_یزد_3991,4
کاردانی ناپیوسته_هتلداری_یزد_4031,3
کاردانی پیوسته_مکانیک خودرو_یزد_4021,3
کارشناسی پیوسته_علوم ورزشی_یزد_4011,3
کارشناسی ارشد ناپیوسته_تکنولوژی  آموزشی_یزد_4031,3
کارشناسی ارشد ناپیوسته_مشاوره - مشاوره توانبخشی_یزد_4031,3
کارشناسی پیوسته_پرستاری_یزد_4011,3
کارشناسی ارشد ناپیوسته_مدیریت ورزشی _ مدیریت سازمان ها و باشگاه های ورزشی_یزد_4011,3
کارشناسی پیوسته_مهندسی عمران_یزد_4032,3
کارشناسی ناپیوسته_مهندسی حرفه ای مواد ریخته گری_یزد_4011,3
کارشناسی ناپیوسته_حسابداری_یزد_4011,3
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4021,3
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_3981,2
کارشناسی پیوسته_مهندسی عمران_یزد_4011,2
کارشناسی پیوسته_علوم ورزشی_یزد_4032,2
دکتری عمومی_پزشکی_یزد_4011,2
کارشناسی پیوسته_مهندسی برق_یزد_4031,2
کارشناسی ارشد ناپیوسته_مدیریت مالی_یزد_4021,2
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4031,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4011,2
کارشناسی پیوسته_حقوق_یزد_4032,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_3981,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_4032,2
کارشناسی ناپیوسته_مهندسی حرفه ای معماری_یزد_4032,2
کارشناسی پیوسته_میکروبیولوژی_یزد_4021,2
کارشناسی پیوسته_مترجمی زبان انگلیسی_یزد_4031,2
کارشناسی ناپیوسته_مهندسی حرفه ای ایمنی صنعتی_یزد_4032,2
کارشناسی پیوسته_علوم ورزشی_یزد_3991,2
کارشناسی ارشد ناپیوسته_نقاشی_یزد_4032,2
کارشناسی پیوسته_حسابداری_یزد_4011,2
کارشناسی ارشد ناپیوسته_طراحی  پارچه  و لباس_یزد_4021,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4001,2
کارشناسی ارشد ناپیوسته_مشاوره - مشاوره شغلی_یزد_4011,2
کارشناسی پیوسته_مدیریت بازرگانی_یزد_4021,2
کارشناسی ارشد ناپیوسته_مالی - مهندسی مالی و مدیریت ریسک_یزد_4031,2
کاردانی ناپیوسته_آموزش و پرورش ابتدایی_یزد_4031,2
کارشناسی پیوسته_علوم ورزشی_یزد_4031,2
کارشناسی پیوسته_مهندسی پزشکی_یزد_4031,2
کارشناسی ارشد ناپیوسته_مدیریت بازرگانی- بازاریابی_یزد_4031,2
کارشناسی پیوسته_مهندسی معماری_یزد_4021,2
کارشناسی پیوسته_مهندسی برق_یزد_4011,1
دکتری تخصصی_مشاوره_یزد_3971,1
کارشناسی ارشد ناپیوسته_روان شناسی بالینی_یزد_4011,1
کارشناسی پیوسته_حسابداری_یزد_4001,1
