No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
13,107730.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.11,13.18,11.23,9.77,8.92,6.18,4.37,1.12,1.01,0.58,0,3.39,3.8,4.31,7.02,8.2,9.48,9.9,11.02,11.42,13.18,14.97,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.111,1457.485,1457.476,1457.322,1456.848,1456.685,1456.43,1456.433,1456.062,1456.113,1456.131,1456.32,1455.836,1455.817,1455.846,1455.658,1455.756,1455.768,1455.751,1455.729,1455.682,1455.413,1455.175,1455.204,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,107736.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9.01,8.68,5.49,5.44,5.4,5.1,1.84,1.48,1.37,0.88,0,0.86,2.74,3.54,3.6,3.76,5.11,5.43,6.29,9.14,10.94,10.98,11.02,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.185,1456.923,1456.912,1456.682,1456.673,1456.657,1456.646,1455.271,1455.349,1455.42,1455.358,1455.509,1455.122,1455.181,1455.042,1455.109,1455.096,1455.161,1455.2,1455.155,1455.079,1455.188,1455.245,1455.241,1455.278,,,,,,,,,,,,,,,,,,,,,,,,,,
15,107740.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6.51,6.17,4.33,2.35,0,0.31,0.44,0.51,0.58,0.63,2.5,5,8.53,8.83,10.62,10.73,11.22,12.88,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.143,1456.678,1456.623,1455.911,1455.188,1455.346,1455.049,1455.091,1455.104,1455.093,1455.041,1455.069,1455.177,1455.094,1455.105,1455.249,1455.23,1455.23,1455.334,1455.393,,,,,,,,,,,,,,,,,,,,,,,,,
16,107748.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.29,12.86,10.97,10.28,9.55,5.41,4.79,3.67,2.63,0.93,0,1.88,2.59,3.38,6.33,7.64,8.72,9.38,13.57,16.51,17.42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.183,1457.588,1457.418,1456.951,1456.864,1456.747,1456.246,1456.334,1456.543,1456.523,1456.418,1456.748,1456.406,1456.259,1456.248,1455.973,1455.929,1455.755,1455.715,1455.432,1455.452,1455.434,1455.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,107753.15,,,,,,,,,,,,,,,,,,,,,,,,,20,18.08,17.11,14.05,12.94,11.75,7.33,5.7,5.23,4.99,4.26,2.97,1.15,0.38,0,1.33,1.48,1.77,2.94,6.17,6.81,7.35,9.37,14.77,17.3,19.08,19.64,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1458.163,1457.996,1457.892,1457.093,1456.854,1456.87,1456.323,1456.178,1456.09,1456.158,1455.948,1455.813,1455.94,1455.954,1456.224,1456.326,1456.426,1456.403,1456.347,1456.181,1456.102,1456.176,1455.89,1455.716,1455.496,1455.516,1455.538,1455.541,,,,,,,,,,,,,,,,,,,,,,,,,,
18,107760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.97,17.17,15.27,14.68,14.35,10.63,10.43,9.96,0,6.81,6.82,8.75,10.39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
