No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
115,109680,,,,,,,,,,,,,,,,,,,,,20,17.45,17.37,10.13,10.08,10.07,9.96,9.92,9.89,9.25,6.83,5.58,5.57,4.81,4.81,4.5,1.73,0.81,0,1.03,11.6,12.87,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1436.484,1436.542,1436.521,1436.436,1436.425,1436.446,1436.401,1436.471,1436.438,1436.352,1436.374,1436.353,1436.343,1435.961,1435.981,1436.017,1435.981,1436.057,1436.174,1435.976,1435.257,1435.205,1434.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,109689.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.3,17.57,14.06,10.5,10.39,4.14,3.63,0.8,0,6.51,11.71,12.47,13.79,16.44,19.15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.516,1436.496,1436.478,1436.386,1436.419,1436.496,1435.611,1435.615,1435.476,1435.668,1434.966,1435.148,1435.116,1435.25,1435.122,1434.963,1434.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,109700,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.77,17.51,10.91,10.7,10.64,9.69,6.86,6.83,5.26,1.59,0.6,0,7.48,7.92,9.12,9.32,9.5,19.48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.4,1436.454,1436.403,1436.322,1436.393,1436.47,1436.357,1436.148,1436.226,1435.919,1435.879,1435.856,1435.884,1435.301,1435.207,1435.183,1435.148,1435.113,1434.799,1434.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,109720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.61,18.49,11.78,11.66,11.6,8.23,5.79,5.7,0.97,0,9.22,10.06,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.387,1436.328,1436.338,1436.317,1436.256,1436.292,1436.082,1435.97,1435.897,1435.939,1435.906,1435.219,1435.174,1434.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,109740,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.79,13.23,12.79,12.71,8.79,8.7,8.63,3.08,3.05,3.01,0,6.61,13.02,14.12,18.04,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.075,1436.059,1436.016,1436.003,1436.036,1435.752,1435.726,1435.793,1435.616,1435.522,1435.512,1435.686,1435.112,1434.797,1434.781,1434.682,1434.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,109760,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12.7,12.69,11.33,10.53,9.11,7.26,7.23,5.6,2.91,2.9,0.88,0,0.24,0.24,2,4.15,7.01,7.19,12.18,12.57,15.84,18.18,18.69,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.687,1435.653,1435.623,1435.513,1435.406,1435.383,1435.242,1435.231,1435.054,1435.021,1435.041,1434.849,1435.082,1434.814,1434.764,1434.486,1434.653,1434.514,1434.486,1434.34,1434.351,1434.08,1434.151,1434.046,1434.086,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,109780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.54,14.43,14.4,10.27,10.24,10.23,10.21,3.81,3.76,0,9.86,10.22,10.5,10.69,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.318,1435.151,1435.17,1435.138,1434.944,1434.931,1434.991,1434.959,1434.559,1434.509,1434.594,1434.108,1434.106,1434.038,1434.1,1433.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,109800,,,,,,,,,,,,,,,,,,,,,,,,,20,14.69,14.32,14.29,12.21,10.11,9.99,9.94,8.65,7.08,7.04,5.28,5.21,3.82,0,7.96,16.43,19.12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1435.011,1434.952,1435.015,1434.952,1434.93,1434.727,1434.691,1434.71,1434.658,1434.503,1434.528,1434.65,1434.634,1434.434,1434.58,1433.873,1433.458,1433.385,1433.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,109820,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.4,14.94,14.39,14.34,11.15,10.97,9.64,8.32,8.22,4.13,4.1,0,12.57,13.28,14.04,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.788,1434.655,1434.62,1434.599,1434.58,1434.444,1434.459,1434.378,1434.202,1434.263,1433.865,1433.874,1433.94,1433.216,1433.122,1433.081,1432.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,109840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.63,14.58,13.82,9.52,9.38,9.35,7.23,5.42,5.17,0,13.13,14.26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.399,1434.308,1434.346,1434.24,1433.944,1433.914,1434.003,1433.834,1433.829,1433.778,1433.949,1433.167,1433.103,1432.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,109860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.08,15.84,15.82,14.69,10.5,10.39,9.32,9.3,9.2,0,13.11,14.78,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.146,1434.038,1433.947,1433.97,1433.916,1433.619,1433.578,1433.577,1433.52,1433.534,1433.367,1432.675,1432.587,1432.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,109880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.07,14.92,14.33,14.33,14.26,8.94,7.99,7.87,3.65,0,7.66,15.93,18.66,18.86,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.807,1433.775,1433.765,1433.577,1433.607,1433.603,1433.537,1433.264,1433.215,1432.934,1433.169,1432.507,1432.256,1432.137,1432.111,1432.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,109900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.41,15.27,15.18,10.02,9.96,3.75,3.68,0,13.92,14.96,16.53,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.439,1433.474,1433.443,1433.387,1433.159,1433.158,1432.699,1432.752,1432.922,1432.023,1431.948,1431.969,1431.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,109915.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.98,13.89,9.76,7.4,3.68,2.81,0,11.92,14.39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.369,1433.358,1433.159,1432.854,1432.789,1432.384,1432.353,1432.685,1431.906,1431.759,1431.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,109920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.22,16.87,16.8,15.23,14.74,7.72,0,3.54,5.2,10.34,13.68,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.253,1433.303,1433.336,1433.306,1433.131,1433.124,1432.597,1432.531,1432.066,1431.931,1431.808,1431.756,1431.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,109929.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.29,16.53,16.17,8.27,5.76,5.73,5.69,4.32,0,4.88,5.47,6.45,14.41,16.38,17.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.24,1433.201,1433.194,1433.226,1432.575,1432.376,1432.324,1432.312,1432.18,1432.189,1431.613,1431.574,1431.524,1431.447,1431.374,1431.483,1431.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,109933.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.69,16.4,15.93,5.67,5.11,4.84,4.24,2.49,0,5.27,6.02,9.74,11.18,16,16.38,16.69,17.02,17.59,18.11,19.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.186,1433.146,1433.169,1433.091,1432.301,1432.249,1432.013,1431.917,1432.066,1432.188,1431.605,1431.562,1431.529,1431.47,1431.294,1431.22,1431.321,1431.512,1431.205,1431.077,1431.173,1431.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,109960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.46,14.22,11.34,11.28,3.23,3.2,3.16,0,15.24,16.24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.93,1432.765,1432.832,1432.865,1432.843,1432.178,1432.243,1432.154,1432.323,1431.296,1431.175,1431.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.1,14.07,14.05,10.19,7.81,7.8,3.1,3.08,0,7.1,7.18,12.69,13.21,13.26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.379,1432.284,1432.284,1432.283,1432.183,1431.675,1431.725,1431.743,1431.702,1431.782,1431.062,1430.967,1430.604,1430.582,1430.61,1430.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,110040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.45,15.31,12.18,12.09,8.35,8.33,3.77,0,11.75,11.93,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.773,1431.685,1431.723,1431.627,1431.68,1431.334,1431.343,1431.018,1431.077,1430.361,1430.423,1429.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,110080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.88,14.28,14,10.15,9.93,5.18,5.06,0,0.66,6.2,6.27,12.1,12.51,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.171,1431.091,1431.074,1431.115,1430.947,1431.001,1430.467,1430.488,1430.474,1430.237,1429.832,1429.85,1429.664,1429.643,1429.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,110099.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.59,14.74,11.84,11.4,11.24,8.04,4.56,4.39,0.52,0,3.1,8.35,8.9,13.95,19.08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.901,1430.8,1430.758,1430.696,1430.62,1430.608,1430.277,1429.945,1429.967,1429.692,1429.938,1429.587,1429.517,1429.48,1429.232,1429.142,1429.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,110120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13.91,13.88,13.86,13.86,13.84,10.29,7.23,0,14.15,14.54,14.92,15.29,15.62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.516,1430.369,1430.449,1430.458,1430.457,1430.376,1430.371,1429.942,1429.966,1429.031,1428.976,1428.976,1428.955,1428.992,1428.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,110160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.05,14.01,14.01,10.58,10.57,8.47,3.97,3.96,3.96,0,0.45,15.19,15.44,16.31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.977,1429.863,1429.932,1429.882,1429.842,1429.81,1429.552,1429.252,1429.242,1429.312,1429.356,1429.08,1428.273,1428.202,1428.209,1428.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,110200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13.95,13.91,12.06,9.28,9.26,6.44,6.42,6.38,2.75,2,0,2.63,2.9,3.01,5.81,8.52,8.53,9.53,11,12.04,13.12,19.38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.563,1429.345,1429.376,1429.324,1429.051,1428.967,1428.966,1428.954,1428.975,1428.874,1428.804,1428.87,1428.649,1428.505,1428.466,1428.069,1427.502,1427.432,1427.65,1427.74,1427.75,1427.993,1427.737,1427.756,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,110240,,,,,,,,,,,,,,,,,,,,,,,,,20,14.17,14,13.67,13.21,10.97,10.04,8.42,6.27,4.77,3.78,2.26,1.89,1.69,0,9.7,9.85,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1428.663,1428.565,1428.613,1428.56,1428.454,1428.488,1428.37,1428.149,1428.274,1428.263,1428.164,1428.094,1427.924,1427.938,1428.184,1427.493,1427.524,1427.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,110264.41,,,,,,,,,,,,,,,,,20,18.64,14.43,14.43,14.4,14.33,14.18,13.97,11.99,11.65,9.62,9.18,8.51,7.96,6.92,5.81,4.37,3.64,2.3,2.17,2.11,1.97,0,4.06,4.2,4.24,4.3,8.14,10.05,10.17,14.51,14.62,16.77,16.9,17.12,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1428.105,1428.177,1428.032,1428.068,1428.06,1428.036,1427.982,1428.046,1427.917,1427.891,1427.714,1427.61,1427.717,1427.624,1427.7,1427.754,1427.727,1427.718,1427.696,1427.664,1427.701,1427.684,1427.749,1427.128,1427.171,1427.175,1427.131,1426.893,1426.674,1426.739,1426.554,1426.545,1426.334,1426.309,1426.345,1426.313,,,,,,,,,,,,,,,,,,,,,,,,,,
142,110273.19,,,,,,,,,,,,,,,,,,20,18.56,15.48,14.65,14.45,14.44,14.33,14.05,13.82,13.58,13.47,13.31,13.27,12.22,11.28,9.73,7.8,4.22,3.17,2.18,0.75,0,0.78,2.13,2.94,4.52,5.19,7.62,8.77,10.44,11.21,12.65,13.24,15.17,16.23,17.95,19.35,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1427.991,1427.947,1427.891,1427.929,1427.909,1428.017,1427.813,1427.938,1427.787,1427.476,1427.375,1427.681,1427.902,1427.639,1427.657,1427.435,1427.089,1427.079,1427.053,1427.284,1427.071,1427.272,1426.96,1426.88,1427.295,1426.903,1426.844,1427.053,1426.932,1426.696,1426.626,1426.681,1426.539,1426.45,1426.331,1426.251,1426.106,1426.122,,,,,,,,,,,,,,,,,,,,,,,
143,110280,,,,,,,,,,,,,,,,,,,20,17.41,15.12,14.47,14.46,14.29,14.24,14.19,14.07,13.74,13.58,8.79,7.78,7.57,6.63,6.54,6.42,6.23,5.92,4.72,0,1.9,2.45,3.31,3.68,6.76,6.98,7.26,8.99,9.93,11.3,11.74,12.07,13.56,15.52,15.58,18.67,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1427.91,1427.713,1427.862,1427.854,1427.861,1427.617,1427.69,1427.704,1427.691,1427.369,1427.003,1426.695,1426.583,1426.7,1426.625,1426.546,1426.593,1426.586,1426.509,1426.532,1426.743,1426.538,1426.476,1426.365,1426.426,1426.491,1426.556,1426.456,1426.467,1426.551,1426.5,1426.529,1426.458,1426.522,1426.371,1426.307,1426.201,1426.105,,,,,,,,,,,,,,,,,,,,,,
144,110320,,,,,,,,,,,,,,,,,,,,,20,18.99,17.87,14.54,14.53,14.42,14.23,12.98,12.97,12.91,10.85,10.82,7.69,6.22,6.2,4.61,4.2,2.27,0,6.94,12.07,12.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1427.21,1427.192,1427.26,1427.326,1427.387,1427.269,1427.31,1426.757,1426.743,1426.729,1426.704,1426.759,1426.482,1426.538,1426.514,1426.378,1426.48,1426.622,1426.572,1425.972,1425.761,1425.72,1425.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,110351.16,,,,,,,,,,,,,,,,,,,,,,,20,14.59,14.59,14.52,14.41,13.65,13,11.6,10.63,10.45,10.24,10.17,9.3,8.96,3.95,2.15,0,1.03,2,4.42,5.2,8.83,10.53,10.6,10.73,18.52,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1426.73,1426.978,1427.025,1426.945,1426.906,1426.631,1426.483,1426.357,1426.275,1426.344,1426.021,1425.735,1425.77,1425.791,1425.658,1425.707,1425.967,1425.737,1425.657,1425.557,1425.567,1425.374,1425.334,1425.281,1425.296,1425.11,1425.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,110360,,,,,,,,,,,,,,,,,,,,,,20,14.61,14.61,14.55,14.46,13.84,13.07,12.4,12.31,10.04,9.99,9.67,6.54,5.89,5.38,4.05,2.78,0,4.25,8.83,10.34,16.7,17.16,17.22,17.48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1426.61,1426.898,1426.843,1426.78,1426.785,1426.537,1426.459,1426.419,1426.401,1426.335,1426.3,1425.795,1425.32,1425.217,1425.205,1425.106,1424.926,1425.229,1424.811,1424.58,1424.755,1424.463,1424.441,1424.372,1424.368,1424.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,110400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.82,14.68,14.67,14.35,11.17,11.12,10.07,9.53,4.62,0,11.96,12.62,13.6,13.65,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.555,1426.444,1426.41,1426.409,1426.359,1426.185,1426.248,1425.842,1425.797,1425.707,1425.784,1425.103,1425.15,1425.033,1425.113,1424.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,110440,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.75,14.41,13.43,13.05,10.33,10.11,8.67,8.34,2.59,2.49,0,0.3,9.02,9.28,11.55,12.55,13.86,16.62,17.86,17.99,18.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.453,1426.361,1426.216,1426.181,1426.117,1426.089,1425.953,1425.632,1425.596,1425.833,1425.78,1425.914,1425.654,1425.308,1425.338,1425.083,1424.986,1424.944,1424.779,1424.695,1424.707,1424.588,1424.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,110451.06,,,,,,,,,,,,,,,,,,,,,20,14.77,14.77,14.77,14.77,14.76,14.76,14.76,14.76,14.76,14.75,11.83,9.99,6.8,6.77,6.4,3.83,3.79,0,5.83,6.2,13.54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1426.415,1426.268,1426.298,1426.328,1426.258,1426.288,1426.338,1426.328,1426.288,1426.277,1426.336,1426.254,1425.838,1425.89,1425.97,1425.981,1426.15,1426.207,1426.145,1425.521,1425.446,1425.09,1424.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,110480,,,,,,,,,,,,,,,,,,,,,,,20,15.1,15.06,14.64,14.62,14.12,13.55,12.77,12.33,12.06,11.97,7.69,6.94,6.76,6.6,6.42,0,5.92,9.05,11.34,11.55,11.6,11.95,12.04,12.37,17.01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1426.107,1425.97,1425.939,1425.917,1425.957,1425.946,1425.848,1425.517,1425.633,1425.652,1425.566,1425.223,1425.119,1425.068,1425.079,1425.108,1425.16,1424.885,1424.732,1424.499,1424.468,1424.484,1424.477,1424.498,1424.422,1424.422,1424.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,110520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.73,14.78,14.47,14.42,13.28,13.24,7.93,7.79,0,5.93,16.67,17.55,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.681,1425.487,1425.516,1425.474,1425.523,1425.463,1425.46,1425.024,1425.044,1424.986,1424.344,1423.787,1423.753,1423.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,110560,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.36,14.5,14.29,14.21,13.65,12.95,9.13,9.07,9.01,6.57,0,0.17,12.12,12.49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.226,1425.113,1425.072,1425.09,1425.049,1425.044,1425.233,1424.967,1424.962,1424.918,1424.745,1424.658,1424.451,1423.837,1423.778,1423.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,110600,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.99,14.22,14.12,14.01,10.86,10.84,7.65,7.63,7.61,7.58,0,0.6,11.53,11.76,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.7,1424.74,1424.668,1424.597,1424.635,1424.386,1424.395,1424.167,1424.125,1424.124,1424.191,1424.279,1423.978,1423.374,1423.395,1422.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,110640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.33,13.96,11.44,11.25,9.15,7.41,0,11.69,11.96,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.346,1424.206,1424.24,1424.011,1423.978,1423.87,1423.672,1423.566,1422.934,1422.97,1422.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,110680,,,,,,,,,,,,,,,,,,,,,20,14.32,14.19,14.19,14.19,14.19,14.18,14.05,13.94,11.5,11.03,9.83,8.54,8.33,8.2,4.02,3.73,3.37,0,11.56,12.25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1423.799,1423.667,1423.696,1423.688,1423.726,1423.656,1423.634,1423.681,1423.61,1423.439,1423.564,1423.499,1423.346,1423.24,1423.234,1423.175,1423.149,1423.066,1423.374,1422.355,1422.254,1422.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,110720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.06,14.05,14.02,14.01,13.92,13.89,6.5,6.47,0,13.94,14.18,14.45,18.45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.893,1422.884,1422.97,1422.798,1422.878,1422.775,1422.794,1422.567,1422.582,1422.35,1421.717,1421.668,1421.693,1421.518,1421.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,110760,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.62,15.37,13.94,13.91,13.86,13.84,13.81,10.34,10.1,8.19,0,1.31,3.88,11.32,11.77,11.79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.167,1422.034,1422.027,1422.012,1422.341,1422.009,1421.985,1422.056,1421.806,1421.824,1421.559,1421.497,1421.179,1421.013,1420.602,1420.663,1420.622,1420.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,110771.72,,,,,,,,,,,,,,,,,20,16.7,15.81,14.2,13.97,13.96,13.9,13.87,13.82,13.79,13.76,13.53,13.45,13.33,12.48,10.59,10.47,10.09,10.07,9.95,9.84,5.17,0,2.98,6.36,12.33,14.24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1421.995,1421.811,1421.821,1421.817,1421.762,1421.832,1421.772,1422.049,1421.807,1421.635,1421.655,1421.163,1421.08,1421.563,1421.142,1421.19,1421.146,1421.111,1421.071,1421.101,1421.032,1420.747,1420.984,1420.693,1420.779,1420.557,1420.448,1420.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,110776.37,,,,,,,,,,,,,,,,,,20,15.05,13.96,13.88,13.88,13.88,13.85,13.81,13.72,13.59,13.19,13.05,12.12,12.05,12,11.48,9.42,9.27,8.71,4.78,2.5,0,2.15,3.09,5.33,10.81,11.18,14.37,18.04,19.37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1421.991,1421.74,1421.755,1421.675,1421.696,1421.806,1421.989,1421.7,1421.31,1421.415,1421.471,1420.999,1421.32,1421.564,1421.6,1421.54,1421.035,1420.918,1421.041,1420.735,1420.679,1420.861,1420.498,1420.497,1420.506,1419.791,1420.454,1420.169,1420.159,1420.187,1420.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,110790.22,,,,,,,,,,,,,,,,,,,,,,20,17.83,17.67,13.82,13.82,13.8,13.79,13.72,13.67,13.65,12.49,11.51,11.31,8.23,7.41,3.71,1.63,0,1.14,5.24,6.68,6.79,7.82,8.43,10.52,17.47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1421.831,1421.729,1421.73,1421.594,1421.673,1421.791,1421.721,1421.342,1421.392,1421.613,1421.447,1421.151,1420.962,1420.778,1420.706,1420.577,1420.483,1420.645,1420.359,1420.189,1420.199,1420.142,1420.182,1420.1,1420.056,1419.766,1419.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,110800,,,,,,,,,,,,,,,,,,,,,20,13.81,13.77,13.56,12.56,11.62,11.55,10.18,9.81,9.76,8.45,7.64,6.9,5.58,5.11,3.79,3.53,3.37,0,0.92,3.8,7.29,7.77,8.64,12.47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
