Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
1358,19+120.16,-9.040m,"1,241.069m",
1359,19+119.98,-6.379m,"1,241.298m",
1360,19+119.92,-4.595m,"1,240.296m",
1361,19+119.99,-3.386m,"1,239.591m",
1362,19+119.96,-3.055m,"1,239.608m",
1363,19+120.06,0.066m,"1,239.706m",
1364,19+120.01,1.561m,"1,239.710m",
1365,19+120.04,2.426m,"1,239.733m",
1366,19+119.98,7.336m,"1,239.974m",
1367,19+120.00,7.772m,"1,240.003m",
1368,19+120.04,8.941m,"1,240.088m",
1369,19+119.94,11.628m,"1,241.141m",
1370,19+119.98,13.095m,"1,240.486m",
1371,19+119.97,10.818m,"1,241.203m",
1372,19+119.99,9.802m,"1,240.736m",
1373,19+099.99,-14.947m,"1,237.245m",
1374,19+099.93,-13.316m,"1,237.223m",
1375,19+100.06,-11.856m,"1,237.397m",
1376,19+100.10,-10.645m,"1,238.041m",
1377,19+099.99,-9.834m,"1,238.239m",
1378,19+100.03,-9.318m,"1,238.396m",
1379,19+100.00,-7.287m,"1,239.165m",
1380,19+099.95,-5.702m,"1,239.118m",
1381,19+100.01,-4.348m,"1,239.190m",
1382,19+100.04,-3.902m,"1,239.146m",
1383,19+100.00,-2.985m,"1,238.448m",
1384,19+100.08,-2.113m,"1,238.210m",
1385,19+099.96,0.017m,"1,238.212m",
1386,19+100.05,1.975m,"1,238.242m",
1387,19+100.05,3.018m,"1,238.367m",
1388,19+099.99,3.967m,"1,238.457m",
1389,19+099.97,4.674m,"1,238.487m",
1390,19+099.99,7.896m,"1,238.681m",
1391,19+099.99,9.235m,"1,238.859m",
1392,19+100.03,9.756m,"1,238.727m",
1393,19+100.01,11.296m,"1,238.685m",
1394,19+100.00,12.180m,"1,238.668m",
1395,19+100.00,14.808m,"1,238.634m",
1396,19+081.51,-14.837m,"1,242.628m",
1397,19+081.54,-12.726m,"1,242.436m",
1398,19+081.59,-12.183m,"1,236.716m",
1399,19+081.57,-11.702m,"1,236.738m",
1400,19+081.64,-10.785m,"1,236.647m",
1401,19+081.62,-9.841m,"1,236.714m",
1402,19+081.69,-8.300m,"1,236.717m",
1403,19+081.78,-6.849m,"1,237.130m",
1404,19+081.92,-5.549m,"1,237.958m",
1405,19+081.90,-3.910m,"1,238.407m",
1406,19+081.57,-2.724m,"1,237.325m",
1407,19+081.80,-1.291m,"1,237.212m",
1408,19+081.81,-0.249m,"1,237.199m",
1409,19+081.81,-0.018m,"1,237.188m",
1410,19+081.79,0.534m,"1,237.199m",
1411,19+081.83,1.906m,"1,237.189m",
1412,19+081.85,2.627m,"1,237.277m",
1413,19+081.83,4.267m,"1,237.953m",
1414,19+081.94,5.584m,"1,237.916m",
1415,19+081.80,7.499m,"1,237.960m",
1416,19+081.63,9.317m,"1,237.915m",
1417,19+081.58,10.511m,"1,237.877m",
1418,19+081.68,10.980m,"1,237.820m",
1419,19+081.73,11.813m,"1,237.825m",
1420,19+081.69,12.234m,"1,237.806m",
1421,19+081.74,12.616m,"1,242.045m",
1422,19+081.75,12.663m,"1,242.265m",
1423,19+081.75,12.820m,"1,242.260m",
1424,19+081.75,13.384m,"1,242.295m",
1425,19+067.27,-19.204m,"1,242.400m",
1426,19+067.42,-17.144m,"1,242.226m",
1427,19+067.36,-15.332m,"1,242.287m",
1428,19+066.89,-13.633m,"1,241.895m",
1429,19+066.89,-12.897m,"1,236.634m",
1430,19+066.93,-11.742m,"1,236.217m",
1431,19+067.16,-9.785m,"1,236.249m",
1432,19+067.19,-7.193m,"1,236.170m",
1433,19+067.34,-5.722m,"1,236.516m",
1434,19+067.32,-5.314m,"1,236.520m",
1435,19+067.41,-4.738m,"1,238.181m",
1436,19+067.15,-3.967m,"1,237.956m",
1437,19+067.18,-3.548m,"1,237.153m",
1438,19+067.16,-3.140m,"1,236.980m",
1439,19+067.12,-2.031m,"1,236.753m",
1440,19+067.14,-0.763m,"1,236.755m",
1441,19+067.16,0.153m,"1,236.748m",
1442,19+067.21,1.104m,"1,236.742m",
1443,19+067.30,2.621m,"1,236.788m",
1444,19+067.18,3.685m,"1,237.002m",
1445,19+067.18,4.274m,"1,236.969m",
1446,19+067.25,4.964m,"1,237.067m",
1447,19+067.09,5.667m,"1,237.675m",
1448,19+067.19,6.776m,"1,237.688m",
1449,19+067.28,7.703m,"1,237.562m",
1450,19+067.37,8.869m,"1,237.556m",
1451,19+067.35,10.952m,"1,237.591m",
1452,19+067.30,11.971m,"1,237.769m",
1453,19+067.38,12.457m,"1,237.745m",
1454,19+067.53,13.045m,"1,242.281m",
1455,19+067.51,14.312m,"1,242.233m",
1456,19+060.04,-14.955m,"1,236.055m",
1457,19+060.01,-13.243m,"1,236.001m",
1458,19+059.97,-12.092m,"1,235.949m",
1459,19+060.05,-11.142m,"1,235.886m",
1460,19+060.04,-9.575m,"1,235.918m",
1461,19+060.03,-7.819m,"1,236.719m",
1462,19+059.97,-6.711m,"1,237.922m",
1463,19+059.98,-6.035m,"1,238.309m",
1464,19+059.97,-5.589m,"1,238.083m",
1465,19+059.92,-4.927m,"1,237.314m",
1466,19+060.05,-4.453m,"1,237.121m",
1467,19+060.09,-3.920m,"1,237.258m",
1468,19+060.07,-3.402m,"1,237.020m",
1469,19+060.10,-2.799m,"1,236.664m",
1470,19+060.03,-1.691m,"1,236.581m",
1471,19+060.00,0.005m,"1,236.568m",
1472,19+060.01,1.698m,"1,236.556m",
1473,19+059.97,2.950m,"1,236.531m",
1474,19+060.02,3.230m,"1,236.530m",
1475,19+060.01,4.190m,"1,236.865m",
1476,19+060.03,4.896m,"1,236.774m",
1477,19+059.98,9.439m,"1,237.589m",
1478,19+059.97,9.781m,"1,237.459m",
1479,19+060.04,12.490m,"1,237.297m",
1480,19+060.03,14.994m,"1,237.166m",
1481,19+040.02,-14.927m,"1,236.252m",
1482,19+040.01,-12.014m,"1,236.657m",
1483,19+040.03,-9.788m,"1,236.669m",
1484,19+040.00,-7.597m,"1,236.549m",
1485,19+039.99,-5.771m,"1,236.255m",
1486,19+040.05,-3.331m,"1,236.119m",
1487,19+039.98,-1.353m,"1,236.119m",
1488,19+040.05,-0.623m,"1,236.099m",
1489,19+040.01,0.063m,"1,236.079m",
1490,19+039.99,2.281m,"1,236.062m",
1491,19+040.01,3.741m,"1,235.977m",
1492,19+040.00,4.017m,"1,235.961m",
1493,19+040.06,4.631m,"1,236.011m",
1494,19+040.03,5.277m,"1,236.400m",
1495,19+040.04,5.868m,"1,236.301m",
1496,19+039.98,9.377m,"1,236.424m",
1497,19+040.00,9.554m,"1,236.423m",
1498,19+040.03,10.519m,"1,237.050m",
1499,19+039.99,11.429m,"1,237.536m",
1500,19+039.98,11.655m,"1,237.540m",
1501,19+040.04,11.996m,"1,237.217m",
1502,19+040.02,13.110m,"1,236.586m",
1503,19+039.99,13.777m,"1,236.344m",
1504,19+039.98,14.963m,"1,236.248m",
1505,19+020.04,-14.991m,"1,236.160m",
1506,19+019.99,-13.913m,"1,235.968m",
1507,19+020.01,-11.873m,"1,234.820m",
1508,19+020.03,-9.255m,"1,234.671m",
1509,19+020.03,-6.271m,"1,234.636m",
1510,19+020.03,-4.142m,"1,235.343m",
1511,19+019.98,-3.296m,"1,235.757m",
1512,19+019.99,-1.836m,"1,235.575m",
1513,19+020.00,0.017m,"1,235.715m",
1514,19+020.04,1.504m,"1,235.384m",
1515,19+019.97,3.597m,"1,235.328m",
1516,19+020.03,4.880m,"1,235.374m",
1517,19+019.98,5.218m,"1,235.359m",
1518,19+019.98,7.488m,"1,235.258m",
1519,19+020.07,9.750m,"1,235.164m",
1520,19+019.98,11.166m,"1,235.123m",
1521,19+020.01,14.088m,"1,234.938m",
1522,19+019.99,14.988m,"1,234.886m",
1523,19+000.01,-15.000m,"1,232.744m",
1524,19+000.01,-13.178m,"1,232.696m",
1525,19+000.06,-11.491m,"1,232.631m",
1526,18+999.97,-11.038m,"1,232.715m",
1527,19+000.06,-10.314m,"1,233.042m",
1528,19+000.08,-9.488m,"1,232.602m",
1529,19+000.06,-7.258m,"1,232.541m",
1530,19+000.08,-5.254m,"1,232.584m",
1531,18+999.99,-4.359m,"1,232.591m",
1532,18+999.93,-3.431m,"1,232.788m",
1533,19+000.02,-2.707m,"1,232.685m",
1534,19+000.07,0.066m,"1,232.382m",
1535,19+000.05,1.798m,"1,232.222m",
1536,19+000.02,2.557m,"1,232.289m",
1537,18+999.97,2.840m,"1,232.252m",
1538,18+999.99,3.463m,"1,232.342m",
1539,19+000.05,4.357m,"1,232.232m",
1540,18+999.96,6.338m,"1,232.365m",
1541,18+999.96,8.160m,"1,232.613m",
1542,19+000.01,9.405m,"1,233.007m",
1543,19+000.01,10.288m,"1,233.375m",
1544,19+000.07,10.888m,"1,233.533m",
1545,18+999.98,12.428m,"1,234.268m",
1546,19+000.05,13.853m,"1,234.756m",
1547,19+000.03,14.703m,"1,234.454m",
1548,18+999.99,15.077m,"1,234.427m",
1549,18+980.00,-14.973m,"1,232.114m",
1550,18+979.98,-14.420m,"1,231.795m",
1551,18+979.97,-14.028m,"1,231.791m",
1552,18+980.01,-13.281m,"1,231.845m",
1553,18+979.99,-12.568m,"1,231.864m",
1554,18+979.99,-12.221m,"1,231.837m",
1555,18+979.99,-11.366m,"1,232.323m",
1556,18+980.04,-10.591m,"1,232.419m",
1557,18+979.99,-10.092m,"1,232.153m",
1558,18+979.94,-9.825m,"1,232.004m",
1559,18+980.04,-9.504m,"1,231.898m",
1560,18+979.97,-9.264m,"1,231.888m",
1561,18+980.02,-9.068m,"1,231.843m",
1562,18+979.96,-7.437m,"1,231.860m",
1563,18+980.01,-5.692m,"1,232.023m",
1564,18+980.11,-5.025m,"1,231.948m",
1565,18+980.03,-4.855m,"1,231.939m",
1566,18+980.05,-3.395m,"1,232.248m",
1567,18+980.05,-2.815m,"1,232.163m",
1568,18+980.03,-2.334m,"1,232.020m",
1569,18+980.04,-1.221m,"1,231.888m",
1570,18+980.01,0.018m,"1,231.879m",
1571,18+980.01,1.827m,"1,231.901m",
1572,18+979.98,3.179m,"1,231.881m",
1573,18+979.97,4.445m,"1,231.879m",
1574,18+980.00,5.035m,"1,231.915m",
1575,18+980.02,5.377m,"1,231.921m",
1576,18+979.99,6.497m,"1,231.873m",
1577,18+980.00,8.842m,"1,231.927m",
1578,18+980.00,11.367m,"1,232.566m",
1579,18+980.03,11.857m,"1,232.790m",
1580,18+980.01,12.812m,"1,232.387m",
1581,18+980.01,13.194m,"1,232.222m",
1582,18+979.99,13.372m,"1,232.154m",
1583,18+979.99,14.261m,"1,232.103m",
1584,18+980.00,14.972m,"1,232.060m",
1585,18+960.06,-15.010m,"1,231.945m",
1586,18+960.02,-14.233m,"1,231.911m",
1587,18+959.91,-12.909m,"1,231.946m",
1588,18+959.93,-11.298m,"1,232.073m",
1589,18+959.95,-10.622m,"1,232.457m",
1590,18+960.10,-9.284m,"1,231.836m",
1591,18+960.01,-7.471m,"1,231.844m",
1592,18+960.03,-5.673m,"1,231.920m",
1593,18+960.05,-4.810m,"1,231.747m",
1594,18+960.11,-3.601m,"1,231.889m",
1595,18+959.88,-1.255m,"1,231.797m",
1596,18+959.94,0.140m,"1,231.849m",
1597,18+960.00,3.377m,"1,231.926m",
1598,18+960.01,7.268m,"1,232.016m",
1599,18+959.99,9.269m,"1,231.926m",
1600,18+960.04,10.756m,"1,231.989m",
1601,18+959.99,12.435m,"1,232.810m",
1602,18+960.01,13.470m,"1,232.330m",
1603,18+960.07,14.218m,"1,231.934m",
1604,18+960.04,14.938m,"1,231.828m",
1605,18+949.16,-16.390m,"1,231.513m",
1606,18+949.20,-14.103m,"1,231.556m",
1607,18+949.18,-13.398m,"1,231.509m",
1608,18+949.24,-11.067m,"1,231.643m",
1609,18+949.25,-9.945m,"1,231.606m",
1610,18+949.21,-9.355m,"1,231.568m",
1611,18+949.15,-8.693m,"1,231.396m",
1612,18+949.18,-7.082m,"1,231.443m",
1613,18+949.16,-5.254m,"1,231.725m",
1614,18+949.23,-3.931m,"1,231.758m",
1615,18+949.10,-2.089m,"1,231.687m",
1616,18+949.25,-0.378m,"1,231.847m",
1617,18+949.24,1.153m,"1,231.612m",
1618,18+949.14,-0.238m,"1,231.808m",
1619,18+949.14,0.012m,"1,231.837m",
1620,18+949.24,3.482m,"1,231.469m",
1621,18+948.90,5.385m,"1,231.505m",
1622,18+949.10,7.953m,"1,231.555m",
1623,18+948.80,11.362m,"1,231.742m",
1624,18+948.33,13.120m,"1,232.396m",
1625,18+948.42,14.432m,"1,231.802m",
1626,18+948.32,15.735m,"1,231.534m",
1627,18+939.95,-14.883m,"1,231.084m",
1628,18+940.00,-13.763m,"1,231.061m",
1629,18+939.99,-12.562m,"1,231.011m",
1630,18+940.05,-12.054m,"1,230.957m",
1631,18+939.92,-10.964m,"1,230.910m",
1632,18+940.10,-9.791m,"1,231.474m",
1633,18+940.13,-9.112m,"1,231.174m",
1634,18+940.13,-8.467m,"1,231.133m",
1635,18+939.99,-8.022m,"1,231.073m",
1636,18+940.01,-6.290m,"1,231.230m",
1637,18+940.06,-5.578m,"1,231.287m",
1638,18+940.11,-4.809m,"1,231.581m",
1639,18+940.11,-4.515m,"1,231.409m",
1640,18+940.01,-2.746m,"1,231.503m",
1641,18+940.13,-1.435m,"1,231.378m",
1642,18+940.11,-0.268m,"1,231.411m",
1643,18+940.00,0.049m,"1,231.390m",
1644,18+940.00,0.982m,"1,231.323m",
1645,18+939.96,1.456m,"1,231.254m",
1646,18+939.96,1.738m,"1,231.184m",
1647,18+939.99,2.506m,"1,230.718m",
1648,18+939.98,3.582m,"1,230.747m",
1649,18+939.99,4.988m,"1,231.158m",
1650,18+940.02,6.497m,"1,231.169m",
1651,18+939.98,8.321m,"1,231.119m",
1652,18+940.02,9.765m,"1,231.118m",
1653,18+940.00,11.526m,"1,231.418m",
1654,18+939.98,13.375m,"1,232.007m",
1655,18+940.01,14.941m,"1,231.155m",
1656,18+920.01,-15.056m,"1,229.960m",
1657,18+920.08,-13.971m,"1,229.843m",
1658,18+920.01,-12.060m,"1,230.148m",
1659,18+920.04,-10.485m,"1,230.270m",
1660,18+920.03,-9.497m,"1,230.442m",
1661,18+920.02,-8.770m,"1,230.523m",
1662,18+920.08,-8.093m,"1,230.548m",
1663,18+920.01,-7.578m,"1,230.788m",
1664,18+920.11,-7.187m,"1,230.634m",
1665,18+920.12,-6.371m,"1,230.181m",
1666,18+920.01,-3.913m,"1,230.200m",
1667,18+920.09,-2.738m,"1,230.463m",
1668,18+920.02,-2.223m,"1,230.191m",
1669,18+920.05,0.022m,"1,230.193m",
1670,18+920.05,4.095m,"1,230.163m",
1671,18+920.01,5.516m,"1,230.030m",
1672,18+919.94,6.088m,"1,229.943m",
1673,18+920.00,7.843m,"1,229.884m",
1674,18+919.98,8.480m,"1,229.820m",
1675,18+920.06,9.189m,"1,229.889m",
1676,18+920.00,10.374m,"1,229.742m",
1677,18+920.02,12.733m,"1,230.056m",
1678,18+920.03,14.888m,"1,231.044m",
1679,18+900.01,-14.939m,"1,229.061m",
1680,18+900.06,-14.182m,"1,228.965m",
1681,18+900.07,-12.928m,"1,229.031m",
1682,18+900.03,-11.427m,"1,229.061m",
1683,18+900.07,-9.989m,"1,229.178m",
1684,18+899.90,-8.293m,"1,229.296m",
1685,18+900.02,-6.711m,"1,229.452m",
1686,18+900.03,-5.663m,"1,229.924m",
1687,18+900.05,-5.137m,"1,230.193m",
1688,18+900.00,-4.298m,"1,229.625m",
1689,18+900.03,-3.566m,"1,229.236m",
1690,18+900.02,-2.040m,"1,229.192m",
1691,18+900.00,0.077m,"1,229.400m",
1692,18+900.08,1.360m,"1,229.165m",
1693,18+900.08,2.704m,"1,229.119m",
1694,18+900.14,3.576m,"1,229.129m",
1695,18+900.05,5.254m,"1,229.236m",
1696,18+900.03,6.278m,"1,229.184m",
1697,18+900.03,7.873m,"1,229.230m",
1698,18+900.01,9.535m,"1,229.305m",
1699,18+899.99,11.060m,"1,229.219m",
1700,18+900.00,12.655m,"1,229.146m",
1701,18+899.99,14.888m,"1,229.203m",
1702,18+891.74,-15.257m,"1,228.618m",
1703,18+891.72,-13.861m,"1,228.473m",
1704,18+891.79,-11.504m,"1,228.539m",
1705,18+891.79,-9.299m,"1,228.788m",
1706,18+891.65,-7.727m,"1,228.841m",
1707,18+891.73,-5.590m,"1,228.832m",
1708,18+891.63,-4.126m,"1,229.357m",
1709,18+891.71,-3.643m,"1,229.256m",
1710,18+891.84,-2.716m,"1,229.116m",
1711,18+891.77,-1.764m,"1,228.810m",
1712,18+891.71,0.053m,"1,228.817m",
1713,18+891.89,1.050m,"1,228.995m",
1714,18+891.86,1.563m,"1,228.893m",
1715,18+892.05,1.943m,"1,228.789m",
1716,18+892.08,4.334m,"1,228.845m",
1717,18+891.92,5.720m,"1,228.860m",
1718,18+891.85,7.369m,"1,228.846m",
1719,18+891.95,9.141m,"1,228.876m",
1720,18+891.84,10.200m,"1,228.876m",
1721,18+891.87,11.415m,"1,228.946m",
1722,18+891.86,13.913m,"1,228.733m",
1723,18+891.91,14.835m,"1,228.724m",
1724,18+891.80,15.416m,"1,228.720m",
1725,18+880.01,-15.087m,"1,228.101m",
1726,18+879.99,-13.931m,"1,228.022m",
1727,18+880.16,-12.504m,"1,228.299m",
1728,18+880.07,-11.613m,"1,227.930m",
1729,18+880.03,-10.545m,"1,227.834m",
1730,18+880.16,-9.467m,"1,228.104m",
1731,18+880.12,-7.908m,"1,228.092m",
1732,18+880.02,-6.844m,"1,228.229m",
1733,18+879.92,-5.780m,"1,228.221m",
1734,18+879.99,-4.590m,"1,228.248m",
1735,18+880.01,-3.142m,"1,228.420m",
1736,18+879.99,-2.421m,"1,228.864m",
1737,18+879.94,-1.614m,"1,228.529m",
1738,18+879.92,-0.835m,"1,228.215m",
1739,18+880.00,0.067m,"1,228.220m",
1740,18+879.98,-1.186m,"1,228.305m",
1741,18+880.02,2.663m,"1,228.383m",
1742,18+880.02,3.114m,"1,228.512m",
1743,18+880.02,3.564m,"1,228.382m",
1744,18+880.04,6.355m,"1,228.373m",
1745,18+880.00,9.029m,"1,228.384m",
1746,18+879.98,10.578m,"1,228.166m",
1747,18+880.00,13.009m,"1,228.245m",
1748,18+880.02,15.015m,"1,228.184m",
1749,18+859.98,-14.986m,"1,227.431m",
1750,18+859.95,-14.146m,"1,227.460m",
1751,18+860.00,-13.210m,"1,227.416m",
1752,18+860.03,-12.844m,"1,227.381m",
1753,18+860.02,-12.457m,"1,227.300m",
1754,18+860.04,-12.047m,"1,226.980m",
1755,18+859.98,-10.708m,"1,226.988m",
1756,18+859.98,-9.639m,"1,227.238m",
1757,18+859.92,-9.074m,"1,227.291m",
1758,18+859.95,-7.866m,"1,227.300m",
1759,18+859.96,-6.546m,"1,227.283m",
1760,18+859.99,-5.041m,"1,227.304m",
1761,18+860.02,-3.310m,"1,227.319m",
1762,18+860.00,-2.014m,"1,227.333m",
1763,18+859.99,-0.036m,"1,227.316m",
1764,18+859.99,0.602m,"1,227.516m",
1765,18+860.01,1.354m,"1,227.391m",
1766,18+860.00,1.877m,"1,227.247m",
1767,18+860.07,2.883m,"1,227.190m",
1768,18+859.99,4.061m,"1,227.280m",
1769,18+860.00,5.291m,"1,227.323m",
1770,18+860.00,6.018m,"1,227.564m",
1771,18+860.03,6.248m,"1,227.639m",
1772,18+860.09,6.707m,"1,227.459m",
1773,18+859.96,7.632m,"1,227.332m",
1774,18+859.97,9.589m,"1,227.316m",
1775,18+859.95,11.272m,"1,227.331m",
1776,18+860.02,13.005m,"1,227.408m",
1777,18+859.98,14.368m,"1,227.382m",
1778,18+860.00,15.075m,"1,227.389m",
1779,18+840.04,-14.829m,"1,226.677m",
1780,18+840.02,-13.361m,"1,226.535m",
1781,18+840.06,-12.365m,"1,226.612m",
1782,18+840.10,-11.223m,"1,226.317m",
1783,18+840.09,-9.423m,"1,226.163m",
1784,18+839.94,-7.153m,"1,226.049m",
1785,18+840.03,-5.641m,"1,226.478m",
1786,18+840.13,-4.899m,"1,226.616m",
1787,18+839.94,-3.699m,"1,226.599m",
1788,18+840.03,-2.259m,"1,226.509m",
1789,18+840.02,-1.083m,"1,226.530m",
1790,18+839.99,0.053m,"1,226.430m",
1791,18+840.13,1.239m,"1,226.317m",
1792,18+840.07,2.742m,"1,226.433m",
1793,18+840.05,4.211m,"1,226.567m",
1794,18+840.08,4.874m,"1,226.429m",
1795,18+840.01,5.900m,"1,226.293m",
1796,18+840.01,6.451m,"1,226.608m",
1797,18+840.07,7.705m,"1,226.963m",
1798,18+840.00,8.803m,"1,226.328m",
1799,18+840.10,9.545m,"1,226.356m",
1800,18+839.95,11.887m,"1,226.306m",
1801,18+840.00,15.015m,"1,226.538m",
1802,18+820.07,-14.842m,"1,226.016m",
1803,18+820.11,-13.222m,"1,225.992m",
1804,18+820.13,-11.309m,"1,225.671m",
1805,18+819.95,-10.660m,"1,225.553m",
1806,18+820.02,-9.626m,"1,225.579m",
1807,18+820.02,-8.928m,"1,225.616m",
1808,18+820.03,-7.971m,"1,225.638m",
1809,18+820.06,-6.829m,"1,225.400m",
1810,18+819.96,-4.668m,"1,225.319m",
1811,18+819.92,-2.979m,"1,225.256m",
1812,18+820.00,-0.842m,"1,225.669m",
1813,18+819.99,0.023m,"1,225.453m",
1814,18+820.01,0.954m,"1,225.461m",
1815,18+819.96,1.895m,"1,225.475m",
1816,18+820.00,2.574m,"1,225.488m",
1817,18+819.99,3.136m,"1,225.457m",
1818,18+820.00,5.024m,"1,225.487m",
1819,18+819.98,8.106m,"1,225.396m",
1820,18+820.05,10.587m,"1,225.293m",
1821,18+819.92,12.727m,"1,225.215m",
1822,18+819.96,14.879m,"1,225.218m",
1823,18+800.00,-15.076m,"1,224.697m",
1824,18+800.03,-13.310m,"1,224.681m",
1825,18+799.97,-11.897m,"1,224.684m",
1826,18+799.97,-9.670m,"1,224.872m",
1827,18+800.00,-7.904m,"1,224.841m",
1828,18+800.01,-5.850m,"1,224.782m",
1829,18+800.10,-3.762m,"1,224.869m",
1830,18+800.04,-2.406m,"1,224.912m",
1831,18+800.02,-1.135m,"1,224.409m",
1832,18+799.97,-0.010m,"1,224.490m",
1833,18+800.00,1.814m,"1,224.442m",
1834,18+800.02,2.769m,"1,224.578m",
1835,18+799.98,3.895m,"1,224.510m",
1836,18+800.00,4.474m,"1,224.600m",
1837,18+800.07,5.983m,"1,224.706m",
1838,18+800.03,7.050m,"1,224.555m",
1839,18+800.07,8.644m,"1,224.426m",
1840,18+800.04,9.653m,"1,224.403m",
1841,18+800.08,10.813m,"1,224.320m",
1842,18+800.04,11.765m,"1,224.376m",
1843,18+800.02,12.545m,"1,224.254m",
1844,18+800.02,13.904m,"1,224.253m",
1845,18+800.06,15.005m,"1,224.435m",
1846,18+780.01,-14.983m,"1,224.241m",
1847,18+780.01,-13.247m,"1,224.124m",
1848,18+779.96,-12.122m,"1,224.031m",
1849,18+780.00,-10.529m,"1,223.880m",
1850,18+779.98,-8.881m,"1,223.911m",
1851,18+780.05,-6.766m,"1,223.890m",
1852,18+780.02,-5.495m,"1,223.986m",
1853,18+780.04,-3.933m,"1,224.000m",
1854,18+779.95,-2.608m,"1,223.934m",
1855,18+779.89,-1.310m,"1,223.763m",
1856,18+780.01,-0.001m,"1,223.675m",
1857,18+780.08,1.623m,"1,223.761m",
1858,18+780.15,2.755m,"1,223.742m",
1859,18+779.94,3.696m,"1,223.932m",
1860,18+779.93,5.170m,"1,223.898m",
1861,18+779.98,6.591m,"1,223.894m",
1862,18+779.95,7.167m,"1,223.831m",
1863,18+780.05,7.839m,"1,223.803m",
1864,18+779.97,9.049m,"1,223.791m",
1865,18+780.02,9.544m,"1,223.729m",
1866,18+780.00,9.832m,"1,223.672m",
1867,18+779.97,10.292m,"1,223.634m",
1868,18+779.98,11.479m,"1,223.641m",
1869,18+780.00,12.926m,"1,223.598m",
1870,18+779.98,13.763m,"1,223.577m",
1871,18+780.01,15.096m,"1,223.521m",
1872,18+760.06,-14.908m,"1,223.197m",
1873,18+760.08,-12.922m,"1,223.239m",
1874,18+760.02,-10.316m,"1,223.336m",
1875,18+760.11,-6.119m,"1,223.325m",
1876,18+760.00,-3.811m,"1,223.137m",
1877,18+759.99,-1.386m,"1,223.038m",
1878,18+760.08,0.054m,"1,222.950m",
1879,18+759.93,1.146m,"1,222.948m",
1880,18+759.98,1.517m,"1,222.780m",
1881,18+759.96,3.059m,"1,222.738m",
1882,18+760.03,4.792m,"1,222.749m",
1883,18+760.07,6.963m,"1,222.854m",
1884,18+759.99,8.759m,"1,222.809m",
1885,18+759.98,9.935m,"1,222.816m",
1886,18+760.01,11.296m,"1,222.904m",
1887,18+759.97,12.360m,"1,222.971m",
1888,18+759.97,14.087m,"1,222.945m",
1889,18+759.99,14.971m,"1,222.921m",
1890,18+740.07,-14.859m,"1,222.167m",
1891,18+739.93,-13.105m,"1,222.113m",
1892,18+740.02,-11.335m,"1,222.342m",
1893,18+740.11,-7.887m,"1,222.331m",
1894,18+740.05,-3.929m,"1,222.364m",
1895,18+739.99,-2.458m,"1,222.236m",
1896,18+740.08,0.064m,"1,222.280m",
1897,18+740.06,2.260m,"1,222.336m",
1898,18+740.06,3.996m,"1,222.292m",
1899,18+740.05,4.979m,"1,222.126m",
1900,18+740.00,5.728m,"1,221.865m",
1901,18+740.12,7.905m,"1,221.908m",
1902,18+740.02,9.893m,"1,221.785m",
1903,18+740.09,10.592m,"1,221.632m",
1904,18+740.00,12.466m,"1,221.734m",
1905,18+739.94,13.763m,"1,221.989m",
1906,18+740.06,15.073m,"1,221.861m",
1907,18+720.03,-14.711m,"1,221.490m",
1908,18+719.90,-13.620m,"1,221.402m",
1909,18+720.01,-9.159m,"1,221.327m",
1910,18+719.98,-7.716m,"1,221.358m",
1911,18+719.96,-6.184m,"1,221.316m",
1912,18+719.86,-4.571m,"1,221.332m",
1913,18+720.05,-2.678m,"1,221.332m",
1914,18+720.04,-2.072m,"1,221.327m",
1915,18+719.96,0.063m,"1,221.098m",
1916,18+720.05,1.776m,"1,221.085m",
1917,18+720.14,3.111m,"1,221.107m",
1918,18+719.98,4.605m,"1,221.109m",
1919,18+719.98,6.341m,"1,221.080m",
1920,18+720.05,8.022m,"1,221.111m",
1921,18+719.94,9.201m,"1,220.761m",
1922,18+719.99,11.489m,"1,220.904m",
1923,18+720.03,13.083m,"1,220.907m",
1924,18+720.06,14.848m,"1,220.908m",
1925,18+700.00,-15.004m,"1,220.375m",
1926,18+700.00,-13.981m,"1,220.329m",
1927,18+700.02,-11.863m,"1,220.437m",
1928,18+699.87,-10.189m,"1,220.422m",
1929,18+700.06,-9.244m,"1,220.543m",
1930,18+699.99,-7.519m,"1,220.604m",
1931,18+699.99,-5.721m,"1,220.468m",
1932,18+700.09,-3.211m,"1,220.404m",
1933,18+699.97,-1.263m,"1,220.378m",
1934,18+699.98,0.012m,"1,220.369m",
1935,18+699.97,1.423m,"1,220.283m",
1936,18+699.97,2.924m,"1,220.189m",
1937,18+700.05,4.818m,"1,220.162m",
1938,18+700.04,7.002m,"1,220.088m",
1939,18+699.97,8.864m,"1,220.074m",
1940,18+700.04,9.824m,"1,220.009m",
1941,18+699.92,10.567m,"1,219.942m",
1942,18+699.90,11.658m,"1,220.174m",
1943,18+699.96,12.755m,"1,220.190m",
1944,18+700.02,13.941m,"1,220.254m",
1945,18+700.00,14.942m,"1,220.308m",
